order_id,airline_code,airline_name,region,account_tier,part_id,part_type,aircraft_model,capability_area,repair_center_id,repair_center_location,order_created_date,received_date,completed_date,status,priority,warranty_flag,quoted_repair_days,actual_repair_days,repair_cost_usd,sla_met
RO00011,DL,Delta Air Lines,North America,Core,CAB520,Cabin Interface,A321,Cabin Systems,RC01,"Dallas, TX",2025-12-05,2025-12-06,2025-12-09,Completed,Standard,N,4,3.0,6759.11,Y
RO00012,EK,Emirates,Middle East,Strategic,NAV111,Navigation Processor,E175,Avionics,RC01,"Dallas, TX",2025-05-14,2025-05-17,2025-05-22,Completed,Standard,N,5,5.0,8764.94,Y
RO00013,AA,American Airlines,North America,Growth,CAB520,Cabin Interface,A321,Cabin Systems,RC04,"Wichita, KS",2025-04-18,2025-04-23,2025-04-26,Completed,AOG,N,4,3.0,9538.18,Y
RO00014,AA,American Airlines,North America,Growth,ACT100,Actuator,A320,Flight Controls,RC03,"Miami, FL",2025-05-09,2025-05-10,2025-05-16,Completed,Standard,Y,6,6.0,2563.52,Y
RO00015,UA,United Airlines,North America,Growth,SNS210,Sensor Module,A320,Avionics,RC03,"Miami, FL",2025-06-04,2025-06-09,2025-06-15,Completed,Standard,N,4,6.0,6798.39,Y
RO00016,BA,British Airways,Europe,Growth,ELE720,Electrical Converter,A220,Aircraft Electrification,RC03,"Miami, FL",2025-08-24,2025-08-28,2025-09-11,Completed,Standard,Y,7,14.0,3007.22,N
RO00017,AA,American Airlines,North America,Growth,SNS210,Sensor Module,A320,Avionics,RC04,"Wichita, KS",2025-05-26,2025-05-27,2025-05-31,Completed,Standard,Y,4,4.0,1264.08,Y
RO00018,BA,British Airways,Europe,Growth,FLT810,Fly-by-Wire Computer,A350,Next-Gen Controls,RC01,"Dallas, TX",2025-10-24,2025-10-25,2025-11-06,Completed,Urgent,N,12,12.0,36132.87,Y
RO00019,AS,Alaska Airlines,North America,Strategic,PWR330,Power Control Unit,B737,Power Management,RC05,"Cincinnati, OH",2025-09-08,2025-09-11,2025-09-19,Completed,Standard,N,8,8.0,19598.87,Y
RO00020,QR,Qatar Airways,Middle East,Growth,ENG410,Engine Control,B737,Engine Systems,RC05,"Cincinnati, OH",2025-04-22,2025-04-26,2025-05-11,Completed,Urgent,Y,11,15.0,7233.9,N
RO00021,AC,Air Canada,North America,Strategic,ENG410,Engine Control,B737,Engine Systems,RC05,"Cincinnati, OH",2025-06-01,2025-06-02,2025-06-18,Completed,AOG,Y,11,16.0,7450.6,N
RO00022,DL,Delta Air Lines,North America,Core,CAB520,Cabin Interface,A321,Cabin Systems,RC01,"Dallas, TX",2025-05-12,2025-05-15,2025-05-19,Completed,Standard,N,4,4.0,7199.56,Y
RO00023,AA,American Airlines,North America,Growth,PWR330,Power Control Unit,B737,Power Management,RC02,"Phoenix, AZ",2025-02-06,2025-02-07,2025-02-16,Completed,Standard,N,8,9.0,17285.67,Y
RO00024,AC,Air Canada,North America,Strategic,CAB520,Cabin Interface,A321,Cabin Systems,RC01,"Dallas, TX",2025-11-12,2025-11-13,2025-11-18,Completed,Standard,N,4,5.0,7515.98,Y
RO00025,QF,Qantas,Oceania,Strategic,CAB520,Cabin Interface,A321,Cabin Systems,RC02,"Phoenix, AZ",2025-01-03,2025-01-06,2025-01-10,Completed,Standard,Y,4,4.0,1511.9,Y
RO00026,QF,Qantas,Oceania,Strategic,ACT100,Actuator,A320,Flight Controls,RC02,"Phoenix, AZ",2025-06-08,2025-06-10,2025-06-18,Completed,Urgent,Y,6,8.0,2761.16,N
RO00027,NH,ANA,Asia,Strategic,ACT100,Actuator,A320,Flight Controls,RC01,"Dallas, TX",2025-12-07,2025-12-08,2025-12-13,Completed,Standard,N,6,5.0,13076.81,Y
RO00028,LH,Lufthansa,Europe,Core,ENG410,Engine Control,B737,Engine Systems,RC02,"Phoenix, AZ",2025-08-31,2025-09-04,2025-09-14,Completed,Standard,N,11,10.0,26286.88,Y
RO00029,AS,Alaska Airlines,North America,Strategic,CAB520,Cabin Interface,A321,Cabin Systems,RC04,"Wichita, KS",2025-11-14,2025-11-17,2025-11-19,Completed,AOG,N,4,2.0,9046.58,Y
RO00030,WN,Southwest Airlines,North America,Core,AUTO610,Autonomy Controller,B787,Autonomy,RC02,"Phoenix, AZ",2025-11-07,2025-11-10,2025-11-23,Completed,Standard,N,13,13.0,28797.89,Y
RO00031,DL,Delta Air Lines,North America,Core,CAB520,Cabin Interface,A321,Cabin Systems,RC04,"Wichita, KS",2025-04-14,2025-04-18,2025-04-22,Completed,Standard,Y,4,4.0,1367.41,Y
RO00032,UA,United Airlines,North America,Growth,NAV111,Navigation Processor,E175,Avionics,RC04,"Wichita, KS",2025-05-25,2025-05-27,2025-06-01,Completed,Standard,N,5,5.0,8616.64,Y
RO00033,DL,Delta Air Lines,North America,Core,NAV111,Navigation Processor,E175,Avionics,RC04,"Wichita, KS",2025-05-04,2025-05-09,2025-05-14,Completed,Urgent,Y,5,5.0,2090.23,Y
RO00034,AA,American Airlines,North America,Growth,NAV111,Navigation Processor,E175,Avionics,RC04,"Wichita, KS",2025-03-07,2025-03-10,2025-03-14,Completed,Standard,N,5,4.0,8289.62,Y
RO00035,AF,Air France,Europe,Core,ACT100,Actuator,A320,Flight Controls,RC01,"Dallas, TX",2025-03-05,2025-03-10,2025-03-15,Completed,Urgent,N,6,5.0,13978.5,Y
RO00036,WN,Southwest Airlines,North America,Core,ELE720,Electrical Converter,A220,Aircraft Electrification,RC04,"Wichita, KS",2025-10-16,2025-10-17,2025-10-25,Completed,Urgent,Y,7,8.0,3627.17,Y
RO00037,B6,JetBlue,North America,Strategic,FLT810,Fly-by-Wire Computer,A350,Next-Gen Controls,RC03,"Miami, FL",2025-11-30,2025-12-02,2025-12-18,Completed,Standard,Y,12,16.0,6483.83,N
RO00038,AC,Air Canada,North America,Strategic,SNS210,Sensor Module,A320,Avionics,RC04,"Wichita, KS",2025-04-08,2025-04-11,2025-04-16,Completed,Standard,N,4,5.0,6485.58,Y
RO00039,UA,United Airlines,North America,Growth,ACT100,Actuator,A320,Flight Controls,RC01,"Dallas, TX",2025-09-08,2025-09-10,2025-09-15,Completed,Urgent,N,6,5.0,15027.86,Y
RO00040,AA,American Airlines,North America,Growth,PWR330,Power Control Unit,B737,Power Management,RC03,"Miami, FL",2025-11-06,2025-11-10,2025-11-19,Completed,Standard,N,8,9.0,21296.41,Y
RO00041,WN,Southwest Airlines,North America,Core,NAV111,Navigation Processor,E175,Avionics,RC03,"Miami, FL",2025-12-18,2025-12-23,2025-12-30,Completed,Standard,N,5,7.0,9665.6,Y
RO00042,UA,United Airlines,North America,Growth,ELE720,Electrical Converter,A220,Aircraft Electrification,RC04,"Wichita, KS",2025-12-20,2025-12-21,2025-12-27,Completed,Urgent,N,7,6.0,16732.46,Y
RO00043,AA,American Airlines,North America,Growth,NAV111,Navigation Processor,E175,Avionics,RC02,"Phoenix, AZ",2025-08-19,2025-08-21,2025-08-28,Completed,Standard,N,5,7.0,8874.08,Y
RO00044,BA,British Airways,Europe,Growth,CAB520,Cabin Interface,A321,Cabin Systems,RC02,"Phoenix, AZ",2025-01-24,2025-01-25,2025-01-29,Completed,Standard,N,4,4.0,7531.73,Y
RO00045,DL,Delta Air Lines,North America,Core,NAV111,Navigation Processor,E175,Avionics,RC05,"Cincinnati, OH",2025-08-10,2025-08-11,2025-08-19,Completed,AOG,N,5,8.0,14885.01,N
RO00046,AF,Air France,Europe,Core,ELE720,Electrical Converter,A220,Aircraft Electrification,RC01,"Dallas, TX",2025-01-04,2025-01-07,2025-01-15,Completed,Standard,N,7,8.0,14989.95,Y
RO00047,LH,Lufthansa,Europe,Core,ACT100,Actuator,A320,Flight Controls,RC01,"Dallas, TX",2025-11-30,2025-12-05,2025-12-11,Completed,Standard,N,6,6.0,13218.46,Y
RO00048,AF,Air France,Europe,Core,ENG410,Engine Control,B737,Engine Systems,RC01,"Dallas, TX",2025-12-27,2025-12-30,,In Progress,Standard,N,11,,28633.04,
RO00049,AA,American Airlines,North America,Growth,ENG410,Engine Control,B737,Engine Systems,RC03,"Miami, FL",2025-05-27,2025-05-28,2025-06-12,Completed,Urgent,Y,11,15.0,6695.25,N
RO00050,AA,American Airlines,North America,Growth,PWR330,Power Control Unit,B737,Power Management,RC05,"Cincinnati, OH",2025-04-22,2025-04-27,2025-05-09,Completed,Standard,Y,8,12.0,4411.34,N
RO00051,AA,American Airlines,North America,Growth,ACT100,Actuator,A320,Flight Controls,RC05,"Cincinnati, OH",2025-09-08,2025-09-09,2025-09-14,Completed,AOG,N,6,5.0,18637.58,Y
RO00052,BA,British Airways,Europe,Growth,AUTO610,Autonomy Controller,B787,Autonomy,RC05,"Cincinnati, OH",2025-01-08,2025-01-12,2025-01-30,Completed,Standard,Y,13,18.0,7032.29,N
RO00053,AA,American Airlines,North America,Growth,SNS210,Sensor Module,A320,Avionics,RC04,"Wichita, KS",2025-05-12,2025-05-16,2025-05-19,Completed,Standard,N,4,3.0,6686.04,Y
RO00054,AA,American Airlines,North America,Growth,SNS210,Sensor Module,A320,Avionics,RC01,"Dallas, TX",2025-03-21,2025-03-23,2025-03-28,Completed,Standard,N,4,5.0,7174.93,Y
RO00055,NH,ANA,Asia,Strategic,NAV111,Navigation Processor,E175,Avionics,RC01,"Dallas, TX",2025-04-27,2025-04-29,2025-05-05,Completed,Standard,N,5,6.0,8958.13,Y
RO00056,WN,Southwest Airlines,North America,Core,NAV111,Navigation Processor,E175,Avionics,RC05,"Cincinnati, OH",2025-04-04,2025-04-08,2025-04-12,Completed,AOG,Y,5,4.0,2466.47,Y
RO00057,EK,Emirates,Middle East,Strategic,NAV111,Navigation Processor,E175,Avionics,RC05,"Cincinnati, OH",2025-01-22,2025-01-23,2025-01-29,Completed,Standard,N,5,6.0,10000.08,Y
RO00058,NH,ANA,Asia,Strategic,ELE720,Electrical Converter,A220,Aircraft Electrification,RC01,"Dallas, TX",2025-10-13,2025-10-15,2025-10-21,Completed,AOG,N,7,6.0,18719.85,Y
RO00059,B6,JetBlue,North America,Strategic,BRK910,Brake Control Unit,B777,Active Controls,RC03,"Miami, FL",2025-09-20,2025-09-25,2025-10-02,Completed,Standard,N,6,7.0,18977.63,Y
RO00060,BA,British Airways,Europe,Growth,FLT810,Fly-by-Wire Computer,A350,Next-Gen Controls,RC01,"Dallas, TX",2025-07-08,2025-07-11,2025-07-27,Completed,AOG,N,12,16.0,40637.06,N
RO00061,DL,Delta Air Lines,North America,Core,FLT810,Fly-by-Wire Computer,A350,Next-Gen Controls,RC03,"Miami, FL",2025-11-29,2025-12-01,2025-12-11,Completed,Standard,N,12,10.0,31690.43,Y
RO00062,BA,British Airways,Europe,Growth,PWR330,Power Control Unit,B737,Power Management,RC01,"Dallas, TX",2025-02-09,2025-02-12,2025-02-19,Completed,Urgent,Y,8,7.0,3915.51,Y
RO00063,UA,United Airlines,North America,Growth,ELE720,Electrical Converter,A220,Aircraft Electrification,RC01,"Dallas, TX",2025-06-30,2025-07-03,2025-07-13,Completed,Standard,N,7,10.0,15605.81,N
RO00064,DL,Delta Air Lines,North America,Core,SNS210,Sensor Module,A320,Avionics,RC02,"Phoenix, AZ",2025-11-09,2025-11-13,2025-11-16,Completed,AOG,N,4,3.0,8740.59,Y
RO00065,UA,United Airlines,North America,Growth,ENG410,Engine Control,B737,Engine Systems,RC03,"Miami, FL",2025-10-25,2025-10-28,2025-11-14,Completed,Urgent,Y,11,17.0,6602.63,N
RO00066,NH,ANA,Asia,Strategic,ACT100,Actuator,A320,Flight Controls,RC02,"Phoenix, AZ",2025-09-12,2025-09-14,2025-09-20,Completed,Urgent,N,6,6.0,14955.53,Y
RO00067,AF,Air France,Europe,Core,CAB520,Cabin Interface,A321,Cabin Systems,RC04,"Wichita, KS",2025-05-30,2025-06-03,2025-06-06,Completed,AOG,N,4,3.0,9178.02,Y
RO00068,DL,Delta Air Lines,North America,Core,CAB520,Cabin Interface,A321,Cabin Systems,RC03,"Miami, FL",2025-01-14,2025-01-15,2025-01-19,Completed,Urgent,N,4,4.0,8315.44,Y
RO00069,QR,Qatar Airways,Middle East,Growth,ACT100,Actuator,A320,Flight Controls,RC03,"Miami, FL",2025-01-21,2025-01-25,2025-02-04,Completed,Standard,N,6,10.0,13215.16,N
RO00070,B6,JetBlue,North America,Strategic,AUTO610,Autonomy Controller,B787,Autonomy,RC04,"Wichita, KS",2025-08-22,2025-08-24,2025-09-07,Completed,Urgent,N,13,14.0,34701.87,Y
RO00071,AC,Air Canada,North America,Strategic,SNS210,Sensor Module,A320,Avionics,RC03,"Miami, FL",2025-08-14,2025-08-17,2025-08-23,Completed,Standard,Y,4,6.0,1428.66,Y
RO00072,DL,Delta Air Lines,North America,Core,BRK910,Brake Control Unit,B777,Active Controls,RC01,"Dallas, TX",2025-05-13,2025-05-17,2025-05-21,Completed,Urgent,N,6,4.0,20166.85,Y
RO00073,QF,Qantas,Oceania,Strategic,NAV111,Navigation Processor,E175,Avionics,RC03,"Miami, FL",2025-03-15,2025-03-16,2025-03-22,Completed,Standard,N,5,6.0,10242.24,Y
RO00074,LH,Lufthansa,Europe,Core,CAB520,Cabin Interface,A321,Cabin Systems,RC03,"Miami, FL",2025-06-19,2025-06-22,2025-06-27,Completed,Standard,N,4,5.0,7444.6,Y
RO00075,UA,United Airlines,North America,Growth,FLT810,Fly-by-Wire Computer,A350,Next-Gen Controls,RC03,"Miami, FL",2024-12-29,2025-01-01,2025-01-12,Completed,Standard,N,12,11.0,31828.26,Y
RO00076,AC,Air Canada,North America,Strategic,ENG410,Engine Control,B737,Engine Systems,RC03,"Miami, FL",2025-09-13,2025-09-18,2025-09-30,Completed,AOG,N,11,12.0,35541.54,Y
RO00077,DL,Delta Air Lines,North America,Core,ACT100,Actuator,A320,Flight Controls,RC03,"Miami, FL",2025-02-04,2025-02-07,2025-02-15,Completed,Standard,N,6,8.0,12392.96,Y
RO00078,NH,ANA,Asia,Strategic,FLT810,Fly-by-Wire Computer,A350,Next-Gen Controls,RC01,"Dallas, TX",2025-12-12,2025-12-15,2025-12-26,Completed,Urgent,N,12,11.0,32026.85,Y
RO00079,UA,United Airlines,North America,Growth,BRK910,Brake Control Unit,B777,Active Controls,RC04,"Wichita, KS",2025-02-28,2025-03-03,2025-03-11,Completed,Standard,N,6,8.0,16755.12,Y
RO00080,BA,British Airways,Europe,Growth,CAB520,Cabin Interface,A321,Cabin Systems,RC02,"Phoenix, AZ",2025-05-28,2025-06-02,2025-06-06,Completed,Standard,N,4,4.0,6969.06,Y
RO00081,SQ,Singapore Airlines,Asia,Growth,ELE720,Electrical Converter,A220,Aircraft Electrification,RC01,"Dallas, TX",2025-05-13,2025-05-14,2025-05-20,Completed,Standard,N,7,6.0,16435.89,Y
RO00082,B6,JetBlue,North America,Strategic,NAV111,Navigation Processor,E175,Avionics,RC04,"Wichita, KS",2025-02-06,2025-02-07,2025-02-13,Completed,Standard,N,5,6.0,9197.36,Y
RO00083,DL,Delta Air Lines,North America,Core,AUTO610,Autonomy Controller,B787,Autonomy,RC04,"Wichita, KS",2025-04-29,2025-05-03,2025-05-11,Completed,Standard,Y,13,8.0,6149.31,Y
RO00084,WN,Southwest Airlines,North America,Core,BRK910,Brake Control Unit,B777,Active Controls,RC01,"Dallas, TX",2025-02-13,2025-02-16,2025-02-24,Completed,Standard,N,6,8.0,16142.71,Y
RO00085,LH,Lufthansa,Europe,Core,AUTO610,Autonomy Controller,B787,Autonomy,RC02,"Phoenix, AZ",2025-03-08,2025-03-10,2025-03-21,Completed,Standard,N,13,11.0,31186.49,Y
RO00086,NH,ANA,Asia,Strategic,SNS210,Sensor Module,A320,Avionics,RC03,"Miami, FL",2025-07-25,2025-07-29,2025-08-03,Completed,Standard,Y,4,5.0,1536.57,Y
RO00087,DL,Delta Air Lines,North America,Core,NAV111,Navigation Processor,E175,Avionics,RC04,"Wichita, KS",2025-10-15,2025-10-20,2025-10-28,Completed,Standard,Y,5,8.0,1718.25,N
RO00088,DL,Delta Air Lines,North America,Core,BRK910,Brake Control Unit,B777,Active Controls,RC05,"Cincinnati, OH",2025-09-13,2025-09-14,2025-09-23,Completed,Urgent,N,6,9.0,20918.44,N
RO00089,AA,American Airlines,North America,Growth,PWR330,Power Control Unit,B737,Power Management,RC01,"Dallas, TX",2025-05-26,2025-05-29,2025-06-08,Completed,Standard,N,8,10.0,18733.4,Y
RO00090,WN,Southwest Airlines,North America,Core,CAB520,Cabin Interface,A321,Cabin Systems,RC05,"Cincinnati, OH",2025-07-26,2025-07-29,2025-08-03,Completed,Standard,N,4,5.0,7988.09,Y
RO00091,WN,Southwest Airlines,North America,Core,SNS210,Sensor Module,A320,Avionics,RC01,"Dallas, TX",2025-06-25,2025-06-29,2025-07-06,Completed,Standard,N,4,7.0,6801.94,N
RO00092,UA,United Airlines,North America,Growth,CAB520,Cabin Interface,A321,Cabin Systems,RC05,"Cincinnati, OH",2025-12-22,2025-12-27,2025-12-30,Completed,Urgent,N,4,3.0,8297.75,Y
RO00093,UA,United Airlines,North America,Growth,PWR330,Power Control Unit,B737,Power Management,RC02,"Phoenix, AZ",2025-07-29,2025-08-03,2025-08-13,Completed,Standard,N,8,10.0,18245.62,Y
RO00094,AS,Alaska Airlines,North America,Strategic,AUTO610,Autonomy Controller,B787,Autonomy,RC01,"Dallas, TX",2025-03-18,2025-03-19,2025-03-27,Completed,Standard,N,13,8.0,32860.52,Y
RO00095,WN,Southwest Airlines,North America,Core,AUTO610,Autonomy Controller,B787,Autonomy,RC01,"Dallas, TX",2025-09-17,2025-09-21,2025-10-01,Completed,Standard,N,13,10.0,33561.6,Y
RO00096,EK,Emirates,Middle East,Strategic,NAV111,Navigation Processor,E175,Avionics,RC04,"Wichita, KS",2025-12-12,2025-12-15,2025-12-20,Completed,Standard,N,5,5.0,8300.15,Y
RO00097,AS,Alaska Airlines,North America,Strategic,ELE720,Electrical Converter,A220,Aircraft Electrification,RC02,"Phoenix, AZ",2025-08-14,2025-08-17,2025-08-25,Completed,Urgent,N,7,8.0,16207.68,Y
RO00098,QF,Qantas,Oceania,Strategic,NAV111,Navigation Processor,E175,Avionics,RC01,"Dallas, TX",2025-08-10,2025-08-11,2025-08-16,Completed,Urgent,Y,5,5.0,2166.56,Y
RO00099,UA,United Airlines,North America,Growth,ACT100,Actuator,A320,Flight Controls,RC01,"Dallas, TX",2025-02-03,2025-02-05,2025-02-12,Completed,Standard,N,6,7.0,11846.08,Y
RO00100,AA,American Airlines,North America,Growth,ACT100,Actuator,A320,Flight Controls,RC04,"Wichita, KS",2025-10-16,2025-10-20,2025-10-27,Completed,Standard,N,6,7.0,11482.37,Y
RO00101,UA,United Airlines,North America,Growth,NAV111,Navigation Processor,E175,Avionics,RC04,"Wichita, KS",2025-03-19,2025-03-22,2025-03-28,Completed,Standard,N,5,6.0,8593.12,Y
RO00102,AS,Alaska Airlines,North America,Strategic,BRK910,Brake Control Unit,B777,Active Controls,RC04,"Wichita, KS",2025-10-04,2025-10-08,2025-10-14,Completed,Urgent,Y,6,6.0,4156.36,Y
RO00103,UA,United Airlines,North America,Growth,NAV111,Navigation Processor,E175,Avionics,RC04,"Wichita, KS",2025-10-19,2025-10-20,2025-10-24,Completed,AOG,N,5,4.0,11251.76,Y
RO00104,WN,Southwest Airlines,North America,Core,CAB520,Cabin Interface,A321,Cabin Systems,RC04,"Wichita, KS",2025-04-24,2025-04-27,2025-04-29,Completed,AOG,Y,4,2.0,1975.06,Y
RO00105,AC,Air Canada,North America,Strategic,ELE720,Electrical Converter,A220,Aircraft Electrification,RC04,"Wichita, KS",2025-06-19,2025-06-22,2025-06-30,Completed,Standard,N,7,8.0,14118.53,Y
RO00106,UA,United Airlines,North America,Growth,ACT100,Actuator,A320,Flight Controls,RC04,"Wichita, KS",2025-01-28,2025-01-29,2025-02-07,Completed,Standard,N,6,9.0,11298.93,N
RO00107,LH,Lufthansa,Europe,Core,ELE720,Electrical Converter,A220,Aircraft Electrification,RC05,"Cincinnati, OH",2025-02-20,2025-02-24,2025-03-04,Completed,Standard,N,7,8.0,15282.9,Y
RO00108,UA,United Airlines,North America,Growth,BRK910,Brake Control Unit,B777,Active Controls,RC05,"Cincinnati, OH",2025-12-30,2025-12-31,,In Progress,Urgent,N,6,,22466.19,
RO00109,DL,Delta Air Lines,North America,Core,FLT810,Fly-by-Wire Computer,A350,Next-Gen Controls,RC03,"Miami, FL",2025-04-12,2025-04-14,2025-04-30,Completed,Standard,N,12,16.0,33165.98,N
RO00110,DL,Delta Air Lines,North America,Core,PWR330,Power Control Unit,B737,Power Management,RC04,"Wichita, KS",2025-10-28,2025-11-01,2025-11-09,Completed,Urgent,N,8,8.0,19845.94,Y
RO00111,B6,JetBlue,North America,Strategic,NAV111,Navigation Processor,E175,Avionics,RC04,"Wichita, KS",2025-05-25,2025-05-29,2025-06-03,Completed,Standard,N,5,5.0,9410.75,Y
RO00112,UA,United Airlines,North America,Growth,NAV111,Navigation Processor,E175,Avionics,RC05,"Cincinnati, OH",2025-02-14,2025-02-16,2025-02-20,Completed,AOG,N,5,4.0,14967.07,Y
RO00113,B6,JetBlue,North America,Strategic,NAV111,Navigation Processor,E175,Avionics,RC01,"Dallas, TX",2025-04-23,2025-04-27,2025-05-02,Completed,Standard,N,5,5.0,9711.62,Y
RO00114,QR,Qatar Airways,Middle East,Growth,PWR330,Power Control Unit,B737,Power Management,RC04,"Wichita, KS",2025-09-25,2025-09-30,2025-10-07,Completed,Standard,N,8,7.0,17649.52,Y
RO00115,DL,Delta Air Lines,North America,Core,FLT810,Fly-by-Wire Computer,A350,Next-Gen Controls,RC02,"Phoenix, AZ",2025-06-27,2025-07-02,2025-07-18,Completed,Standard,N,12,16.0,29602.07,N
RO00116,BA,British Airways,Europe,Growth,NAV111,Navigation Processor,E175,Avionics,RC03,"Miami, FL",2025-11-02,2025-11-07,2025-11-16,Completed,Standard,N,5,9.0,8942.86,N
RO00117,B6,JetBlue,North America,Strategic,NAV111,Navigation Processor,E175,Avionics,RC04,"Wichita, KS",2025-02-07,2025-02-08,2025-02-14,Completed,AOG,Y,5,6.0,2249.26,Y
RO00118,AF,Air France,Europe,Core,ENG410,Engine Control,B737,Engine Systems,RC02,"Phoenix, AZ",2025-03-04,2025-03-06,2025-03-15,Completed,Urgent,Y,11,9.0,5747.96,Y
RO00119,AA,American Airlines,North America,Growth,SNS210,Sensor Module,A320,Avionics,RC01,"Dallas, TX",2025-07-09,2025-07-12,2025-07-17,Completed,Standard,Y,4,5.0,1228.35,Y
RO00120,NH,ANA,Asia,Strategic,BRK910,Brake Control Unit,B777,Active Controls,RC01,"Dallas, TX",2025-07-12,2025-07-17,2025-07-23,Completed,Standard,N,6,6.0,18202.79,Y
RO00121,QF,Qantas,Oceania,Strategic,BRK910,Brake Control Unit,B777,Active Controls,RC01,"Dallas, TX",2025-03-11,2025-03-13,2025-03-20,Completed,Standard,N,6,7.0,16907.34,Y
RO00122,WN,Southwest Airlines,North America,Core,ACT100,Actuator,A320,Flight Controls,RC05,"Cincinnati, OH",2025-09-17,2025-09-19,2025-10-05,Completed,Standard,N,6,16.0,14593.27,N
RO00123,B6,JetBlue,North America,Strategic,PWR330,Power Control Unit,B737,Power Management,RC03,"Miami, FL",2025-12-03,2025-12-04,2025-12-13,Completed,Standard,Y,8,9.0,3751.0,Y
RO00124,AC,Air Canada,North America,Strategic,AUTO610,Autonomy Controller,B787,Autonomy,RC01,"Dallas, TX",2025-04-12,2025-04-15,2025-04-30,Completed,Standard,N,13,15.0,32490.73,Y
RO00125,NH,ANA,Asia,Strategic,NAV111,Navigation Processor,E175,Avionics,RC04,"Wichita, KS",2025-02-06,2025-02-09,2025-02-13,Completed,Standard,N,5,4.0,7874.69,Y
RO00126,LH,Lufthansa,Europe,Core,CAB520,Cabin Interface,A321,Cabin Systems,RC01,"Dallas, TX",2025-11-10,2025-11-12,2025-11-15,Completed,Urgent,N,4,3.0,9002.28,Y
RO00127,AS,Alaska Airlines,North America,Strategic,CAB520,Cabin Interface,A321,Cabin Systems,RC03,"Miami, FL",2025-07-02,2025-07-05,2025-07-11,Completed,Standard,N,4,6.0,8064.87,Y
RO00128,QR,Qatar Airways,Middle East,Growth,SNS210,Sensor Module,A320,Avionics,RC01,"Dallas, TX",2025-10-29,2025-10-31,2025-11-05,Completed,Standard,N,4,5.0,6886.71,Y
RO00129,DL,Delta Air Lines,North America,Core,FLT810,Fly-by-Wire Computer,A350,Next-Gen Controls,RC01,"Dallas, TX",2025-05-11,2025-05-13,2025-05-24,Completed,Standard,N,12,11.0,30992.35,Y
RO00130,EK,Emirates,Middle East,Strategic,BRK910,Brake Control Unit,B777,Active Controls,RC03,"Miami, FL",2025-10-21,2025-10-22,2025-10-27,Completed,Urgent,Y,6,5.0,4283.04,Y
RO00131,BA,British Airways,Europe,Growth,SNS210,Sensor Module,A320,Avionics,RC04,"Wichita, KS",2025-12-05,2025-12-10,2025-12-16,Completed,Standard,Y,4,6.0,1233.06,Y
RO00132,DL,Delta Air Lines,North America,Core,NAV111,Navigation Processor,E175,Avionics,RC04,"Wichita, KS",2025-08-29,2025-08-30,2025-09-05,Completed,Standard,Y,5,6.0,1836.88,Y
RO00133,AC,Air Canada,North America,Strategic,PWR330,Power Control Unit,B737,Power Management,RC04,"Wichita, KS",2025-07-26,2025-07-29,2025-08-08,Completed,Standard,N,8,10.0,15816.09,Y
